YEAR,MONTH_NAME,BEGIN_DAY,BEGIN_DATE_TIME,TIME_OF_DAY,DAMAGE_PROPERTY,EVENT_TYPE,STATE,TOR_F_SCALE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,EVENT_NARRATIVE
2024,February,28,2024-02-28 08:28:00,08:28:00,20000,Thunderstorm Wind,PENNSYLVANIA,,CARMICHAELS,39.89,-79.97,The emergency manager reported a tree down on house with no injuries.
2024,February,28,2024-02-28 08:13:00,08:13:00,1000,Thunderstorm Wind,PENNSYLVANIA,,WAYNESBURG,39.89,-80.23,"Trees were reported to be down on State Route 21, just west of Oak Forest Road. Time estimated based on radar."
2024,February,28,2024-02-28 05:14:00,05:14:00,250000,Tornado,OHIO,EF1,LONDON,39.8856,-83.4128,"The tornado developed near State Route 665, east of London, and moved to the east-northeast. The tornado initially caused minor tree and structural damage, including a tipped over trailer. It then strengthened as it crossed Spring Valley Road and then across Glade Run Road, where it peaked in intensity as it crossed Wilson Road. At this location, a home lost part of its roof and tree damage was considerable, with snapped|off trunks. Damage in this area was consistent with wind speeds of around 110 mph.||The tornado continued across West Jefferson-Klousville Road and then onward to Olmstead Road. Additional damage meeting the EF1 category was found along Roberts Road, just southeast of Plain City Georgesville Road. The tornado then entered Franklin County at 0525EST, about 1.5 miles east-southeast of West Jefferson. It continued east-northeast for about 3 more miles before ending just before reaching Alton Hall Elementary School at 0528EST."
2024,February,28,2024-02-28 08:23:00,08:23:00,2000,Thunderstorm Wind,PENNSYLVANIA,,KHEDIVE,39.88,-80.05,The local emergency manager reported electrical wires down on the road. Tree blocking Mohr Road.
2024,February,28,2024-02-28 07:40:00,07:40:00,1000,Thunderstorm Wind,WEST VIRGINIA,,MC KEEFREY,39.88,-80.76,The local emergency manager reported trees down on Route 21. Time estimated based on radar.
2024,February,28,2024-02-28 04:35:00,04:35:00,15000,Thunderstorm Wind,OHIO,,SULPHUR GROVE,39.87,-84.13,A large tree fell onto a house. Another tree fell onto a nearby car.
2024,February,28,2024-02-28 07:40:00,07:40:00,1000,Thunderstorm Wind,WEST VIRGINIA,,GRAVE CREEK,39.87,-80.72,The local emergency manager reported trees down. Time estimated based on radar.
2024,February,28,2024-02-28 05:57:00,05:57:00,5000,Thunderstorm Wind,OHIO,,STOUDERTOWN,39.86,-82.68,A barn roof was damaged.
2024,February,28,2024-02-28 06:57:00,06:57:00,1000,Thunderstorm Wind,OHIO,,MT ZION,39.86,-81.54,"Trees down in south Pleasant City, OH. Time estimated based on radar."
2024,February,28,2024-02-28 04:52:00,04:52:00,1000000,Tornado,OHIO,EF2,PITCHIN,39.8571,-83.7946,"The first known damage from this tornado was in a stand of trees southwest of Selma Pike. Additional tree damage was found on Selma Pike south of Shawnee High School, where several trees were snapped. The tornado then strengthened and broadened as it moved east-northeast, eventually reaching EF2 intensity as it crossed Mitchell Road, Ridge Rd, and Highway 41, where three homes had complete roof loss. Intermittent EF1 and EF2 damage, consisting of around a dozen barns and outbuildings destroyed and more homes with complete roof loss, then continued for around 10 miles before the tornado entered Madison County about 1.5 miles east of Brighton at 0506EST. The tornado ended in Madison County at 0515EST, 4 miles north northeast of London."
2024,February,28,2024-02-28 05:28:00,05:28:00,25000,Tornado,OHIO,EF0,WRIGHTSVILLE,39.8497,-83.2246,"The first known damage from this tornado occurred on the southeast corner of the intersection of Biggert Road and London Groveport Road. Several stands of trees in this area were damaged and some minor roof damage to outbuildings was also observed. One stand of trees south of London Groveport Road had several trees snapped at the trunk.||Additional minor tree damage was observed further west on London Groveport Road. After this, the tornado is believed to have moved over a forested area near Big Darby Creek and no additional damage was found."
2024,February,28,2024-02-28 05:52:00,05:52:00,10000,Tornado,OHIO,EF0,WATERLOO,39.8495,-82.8004,"The tornado initially touched down in Franklin County at 0548EST, 1 mile south of Groveport. It moved east-northeast and entered Fairfield County at 0552EST, as it moved across U.S. Route 33 in Canal Winchester. The tornado caused minor damage to trees and structures south of Dove Parkway before ending."
2024,February,28,2024-02-28 05:57:00,05:57:00,20000,Thunderstorm Wind,OHIO,,HAVENSPORT,39.8449,-82.67,Several trees and barns were damaged along Basil Western Road and Reynoldsburg Baltimore Road.
2024,February,28,2024-02-28 04:52:00,04:52:00,6000,Thunderstorm Wind,OHIO,,SPRINGFIELD ARPT,39.8402,-83.8059,A few trees were downed and a house on Old Clifton Road had minor damage.
2024,February,28,2024-02-28 05:48:00,05:48:00,50000,Tornado,OHIO,EF0,GROVEPORT,39.8381,-82.8863,"The tornado began within or near the Walnut Woods Metro Park area, more specifically west of Richardson Road. Numerous pine trees were snapped and uprooted, likely indicating the strongest period of the tornado. The tornado continued eastward over Lithopolis Road where more tree damage was observed. In the Canal Winchester area, additional tree damage and light structure damage was observed throughout the city, with the damage centered on West Waterloo Street on the north side of town. The tornado then moved into Fairfield County as it crossed U.S. Route 33 at 0552EST.  The tornado ended at 0554EST, about 1.5 miles north of Waterloo."
2024,February,28,2024-02-28 04:51:00,04:51:00,8000,Thunderstorm Wind,OHIO,,SPRINGFIELD ARPT,39.83,-83.83,"Several trees were downed along Jackson Road, Springfield Jamestown Road and Mosier Road."
2024,February,28,2024-02-28 07:22:00,07:22:00,500000,Tornado,OHIO,EF2,MILTONSBURG,39.8154,-81.1448,"A NWS Storm Survey confirmed an EF-2 tornado tracked roughly 4 miles from Miltonsburg to Ozark in Monroe County. The tornado was embedded within a wider swath of straight-line wind damage. Maximum wind gusts were near 120mph. There was widespread tree damage and many outbuildings were affected. The most significant damage was located off Minder Road where a house sustained major damage, which consisted of it being shifted off its foundation, windows blown out, and a complete collapse of the attached garage. There was one indirect injury during cleanup efforts."
2024,February,28,2024-02-28 06:30:00,06:30:00,1000,Thunderstorm Wind,OHIO,,IRONSPOT,39.81,-82.07,"The local emergency manager reported trees down in Roseville, OH. Time estimated based on radar."
2024,February,28,2024-02-28 05:29:00,05:29:00,250000,Tornado,OHIO,EF0,HARRISBURG,39.8038,-83.2097,"The first known damage from this tornado occurred south of Carson Road, where several trees were damaged and some of the debris was blown onto southbound Interstate 71.||Additional damage was found further east on Carson Road, where roof damage occurred to some homes and a stand of trees had a notable but narrow path of damage. More tree damage was located on the southwest side of Harrisburg, along Harrisburg Road and U.S. Route 62. Finally, some trees and tree branches were downed on Ohio State Route 762, just south of U.S. Route 62."
2024,February,28,2024-02-28 03:08:00,03:08:00,2000,Thunderstorm Wind,INDIANA,,DUNREITH,39.8,-85.45,Several large tree limbs snapped by thunderstorm wind gusts across US 40.
2024,February,28,2024-02-28 04:50:00,04:50:00,15000,Thunderstorm Wind,OHIO,,YELLOW SPGS,39.8,-83.89,Two power poles were blown over and several trees were uprooted. A couple of homes just south of Yellow Springs had minor roof damage.
2024,February,28,2024-02-28 02:46:00,02:46:00,1000,Thunderstorm Wind,INDIANA,,GREENFIELD,39.79,-85.77,Several medium to large tree limbs downed by thunderstorm wind gusts.
2024,February,28,2024-02-28 07:50:00,07:50:00,1000,Thunderstorm Wind,WEST VIRGINIA,,KAUSOOTH,39.79,-80.6,The local emergency manager reported trees down on roadways.
2024,February,28,2024-02-28 05:40:00,05:40:00,5000,Thunderstorm Wind,OHIO,,DUVALLS,39.7898,-82.9891,A semi trailer was flipped over on U.S. Route 23 near Picway Road.
2024,February,28,2024-02-28 05:39:00,05:39:00,5000,Thunderstorm Wind,OHIO,,COMMERCIAL PT,39.7812,-83.0264,A few power poles were downed along State Route 104.
2024,February,28,2024-02-28 08:15:00,08:15:00,5000,Thunderstorm Wind,PENNSYLVANIA,,SPRAGGS,39.78,-80.22,The Department of Highways reported trees down across Greene County.
2024,February,28,2024-02-28 04:38:00,04:38:00,500000,Tornado,OHIO,EF1,NEW GERMANY,39.774,-84.0985,"The tornado initially touched down at 0437EST in far northeast Montgomery County, near the intersection of Mitchell Drive and Spinning Road. The tornado moved quickly east-northeast and entered Greene County, just past Airway Road as it moved into the far southern portions of Wright-Patterson Air Force Base at 0438EST. ||A restoration hangar at Wright-Patterson Air Force Base received minor structural damage with sheet metal ripped off. Some planes that were in the process of being restored also suffered damage due to flying debris. This damage was notable enough to warrant EF1 strength winds of around 100 mph. Additional damage occurred along Loop Road, where guard rails were bent and several hardwood trees were broken and snapped. A few of the dwellings on the eastern side of the base had damage to the roofs as shingles were ripped off. ||More residential damage was observed just east of the base, with quite a bit of shingles lost on the roof of an apartment complex, just behind a grocery store.  Based on the damage, the tornado weakened as it traveled further eastward from this point, with mainly tree damage observed. The last bit of tree damage was found near University Boulevard, just west of the Student Union at Wright State University."
2024,February,28,2024-02-28 04:49:00,04:49:00,5000,Thunderstorm Wind,OHIO,,GOES,39.77,-83.92,"Several trees were downed along Snively Road, east of Sutton Road."
2024,February,28,2024-02-28 04:37:00,04:37:00,10000,Tornado,OHIO,EF0,EASTVIEW,39.7698,-84.1095,"The tornado first touched down in far northeast Montgomery County, near dwellings located just south of Wright-Patterson Air Force Base. Large hardwood branches were broken near the intersection of Mitchell Drive and Spinning Road. Minor tree damage continued across Airway Road into portions of the Wright Field Airport, where it crossed into Greene County at 0438EST.  The tornado continued east-northeast into Greene County before lifting near Wright State University at 0441EST."
2024,February,28,2024-02-28 04:48:00,04:48:00,4000,Thunderstorm Wind,OHIO,,GOES,39.7694,-83.9476,A few trees were downed near the south end of W Enon Road.
2024,February,28,2024-02-28 04:30:00,04:30:00,3000,Thunderstorm Wind,OHIO,,DAYTON,39.759,-84.1698,Wires were downed on Drummer Avenue.
2024,February,28,2024-02-28 04:23:00,04:23:00,3000,Thunderstorm Wind,OHIO,,DAYTON,39.7546,-84.1856,Some wires were downed on Green Street.
2024,February,28,2024-02-28 06:30:00,06:30:00,15000,Thunderstorm Wind,OHIO,,CROOKSVILLE,39.753,-82.107,"A NWS survey team found that strong straight line winds of 80 to 90 MPH resulted in tree damage to a mixture of softwood and hardwood trees just south of Crooksville.  The results of the survey indicated that straight line winds were |responsible for the areas of tree damage noted just south of Crooksville.|Tree damage initially began on either side of Flint Ridge Road, consisting |of a mix of hardwood and softwood trees that were either uprooted or snapped|off. Additionally, a porch awning was lifted up and over a mobile home. Tree|damage continued east-northeast to Tunnel Hill Road across from the water |plant. A narrow swath of significant tree damage was noted, with several large, |healthy softwood trees either uprooted or snapped off. The damage continued |along Ceramic Road, where additional damage occurred to a mix of hardwood and |softwood trees. Notably, a softwood pine was snapped off and landed on a home |on the east side of Ceramic Road. The damage ended just east of Ceramic Road. |All damage along this path was lying in a northeast direction."
2024,February,28,2024-02-28 04:00:00,04:00:00,3000,Thunderstorm Wind,OHIO,,SUGAR VLY,39.7163,-84.7089,A barn was damaged along with some minor roof damage to a house.
2024,February,28,2024-02-28 02:28:00,02:28:00,1000,Thunderstorm Wind,INDIANA,,EDGEWOOD,39.7,-86.15,Several medium to large tree limbs snapped by thunderstorm wind gusts.
2024,February,28,2024-02-28 03:40:00,03:40:00,250,Thunderstorm Wind,INDIANA,,BROWNSVILLE,39.65,-84.97,A few small trees were downed.
2024,February,28,2024-02-28 04:16:00,04:16:00,5000,Thunderstorm Wind,OHIO,,GRATIS,39.64,-84.54,Several trees were downed.
2024,February,28,2024-02-28 04:03:00,04:03:00,1000,Thunderstorm Wind,OHIO,,CAMDEN,39.6302,-84.6513,A pole was downed on North Liberty Street.
2024,February,28,2024-02-28 03:12:00,03:12:00,2000,Thunderstorm Wind,INDIANA,,RUSHVILLE,39.62,-85.45,Tree split apart by thunderstorm wind gusts.
2024,February,28,2024-02-28 02:07:00,02:07:00,10000,Thunderstorm Wind,INDIANA,,MONROVIA,39.59,-86.47,Large portions of numerous pine trees snapped and uprooted by thunderstorm wind gusts.
2024,February,28,2024-02-28 04:20:00,04:20:00,3000,Thunderstorm Wind,OHIO,,WEST ELKTON,39.58,-84.54,A few trees were downed.
2024,February,4,2024-02-04 00:00:00,00:00:00,395000,Flood,CALIFORNIA,,WILLOWS GLENN CO ARP,39.5238,-122.2216,"Glenn County OES reported the closure of Willows-Glenn County Airport taxiway and runway due to flooding and debris, with damage to the shoulder. Damage, culvert failure, and temporary closure of multiple county roads. There were 8 water rescues within the county as well with this event. The Glenn County Landfill infrastructure was also damaged from flooding and erosion."
2024,February,28,2024-02-28 01:45:00,01:45:00,2000,Thunderstorm Wind,INDIANA,,MANHATTAN,39.5157,-86.8797,Tree downed by thunderstorm wind gusts along County Road 1000 South.
2024,February,28,2024-02-28 01:41:00,01:41:00,3000,Thunderstorm Wind,INDIANA,,BOWLING GREEN,39.42,-87.01,A 22 foot Coleman pool was lifted and caved in by thunderstorm wind gusts.
2024,February,22,2024-02-22 17:50:00,17:50:00,50000,Lightning,MARYLAND,,BRIGHTON,39.2087,-77.0476,A lightning strike caused an electrical surge and significant damage in the basement of a house in the 21600 block of Gentry Lane.
2024,February,19,2024-02-19 19:00:00,19:00:00,5000,Lightning,CALIFORNIA,,UPPER LAKE,39.1927,-122.8996,Lightning struck a house shattering windows. No other damage was reported.
2024,February,28,2024-02-28 08:28:00,08:28:00,200,Thunderstorm Wind,WEST VIRGINIA,,HAZELGREEN,39.0877,-80.991,A downed tree blocked Hazelgreen Road.
2024,February,28,2024-02-28 09:05:00,09:05:00,200,Thunderstorm Wind,WEST VIRGINIA,,TETER,39.0613,-80.1579,Teter Road was blocked due to a downed tree.
2024,February,19,2024-02-19 21:34:00,21:34:00,10,Thunderstorm Wind,CALIFORNIA,,WOODLEAF,38.6055,-122.5954,A large portion of a tree leaned against utility lines on Tubbs lane at California Highway 29.
2024,January,22,2024-01-22 00:18:00,00:18:00,10,Flood,CALIFORNIA,,WINDSOR,38.5593,-122.8205,The Arata Lane offramp from US Highway 101 Northbound was closed due to standing water on the roadway.
2024,February,28,2024-02-28 08:30:00,08:30:00,200,Thunderstorm Wind,WEST VIRGINIA,,WELFORD,38.5318,-81.3905,"Near Welford, a tree was blown down between Foreman Drive and Gabe Road."
